Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,nothing,"nothing "Player chose to do nothing"",1,116,350,150,24,4,100,24,28,100,1,16
3,move,"move 23 28",2,121,350,150,24,4,100,23,28,100,1,16
4,move,"move 0 15",3,126,350,150,24,4,100,23,28,100,0,15
5,move,"move 24 3",1,131,350,150,24,3,100,23,28,100,0,15
6,move,"move 23 29",2,136,350,150,24,3,100,23,29,100,0,15
7,move,"move 1 16",3,141,350,150,24,3,100,23,29,100,1,16
8,move,"move 24 4",1,146,350,150,24,4,100,23,29,100,1,16
9,dig,"dig 23 30",2,153,350,150,24,4,100,23,29,100,1,16
10,move,"move 2 15",3,158,350,150,24,4,100,23,29,100,2,15
11,move,"move 24 3",1,163,350,150,24,3,100,23,29,100,2,15
12,dig,"dig 22 28",2,170,350,150,24,3,100,23,29,100,2,15
13,move,"move 2 16",3,175,350,150,24,3,100,23,29,100,2,16
14,move,"move 23 3",1,180,350,150,23,3,100,23,29,100,2,16
15,move,"move 24 28",2,185,350,150,23,3,100,24,28,100,2,16
16,move,"move 2 17",3,190,350,150,23,3,100,24,28,100,2,17
17,move,"move 24 4",1,195,350,150,24,4,100,24,28,100,2,17
18,move,"move 25 29",2,200,350,150,24,4,100,25,29,100,2,17
19,dig,"dig 1 18",3,207,350,150,24,4,100,25,29,100,2,17
20,move,"move 23 3",1,212,350,150,23,3,100,25,29,100,2,17
21,nothing,"nothing "Player chose to do nothing"",2,212,350,150,23,3,100,25,29,100,2,17
22,move,"move 1 17",3,217,350,150,23,3,100,25,29,100,1,17
23,move,"move 24 4",1,222,350,150,24,4,100,25,29,100,1,17
24,dig,"dig 24 30",2,229,350,150,24,4,100,25,29,100,1,17
25,nothing,"nothing "Player chose to do nothing"",3,229,350,150,24,4,100,25,29,100,1,17
26,move,"move 25 4",1,234,350,150,25,4,100,25,29,100,1,17
27,move,"move 25 28",2,239,350,150,25,4,100,25,28,100,1,17
28,move,"move 1 16",3,244,350,150,25,4,100,25,28,100,1,16
29,nothing,"nothing "Player chose to do nothing"",1,244,350,150,25,4,100,25,28,100,1,16
30,move,"move 24 29",2,249,350,150,25,4,100,24,29,100,1,16
31,move,"move 1 17",3,254,350,150,25,4,100,24,29,100,1,17
32,move,"move 25 5",1,259,350,150,25,5,100,24,29,100,1,17
33,move,"move 23 30",2,264,350,150,25,5,100,23,30,100,1,17
34,move,"move 1 18",3,269,350,150,25,5,100,23,30,100,1,18
35,dig,"dig 24 6",1,276,350,150,25,5,100,23,30,100,1,18
36,dig,"dig 24 31",2,283,350,150,25,5,100,23,30,100,1,18
37,move,"move 1 19",3,288,350,150,25,5,100,23,30,100,1,19
38,move,"move 24 6",1,293,350,150,24,6,100,23,30,100,1,19
39,move,"move 24 31",2,298,350,150,24,6,100,24,31,100,1,19
40,nothing,"nothing "Player chose to do nothing"",3,298,350,150,24,6,100,24,31,100,1,19
41,move,"move 24 7",1,303,350,150,24,7,100,24,31,100,1,19
42,nothing,"nothing "Player chose to do nothing"",2,303,350,150,24,7,100,24,31,100,1,19
43,dig,"dig 2 18",3,310,350,150,24,7,100,24,31,100,1,19
44,dig,"dig 23 7",1,317,350,150,24,7,100,24,31,100,1,19
45,nothing,"nothing "Player chose to do nothing"",2,317,350,150,24,7,100,24,31,100,1,19
46,move,"move 2 18",3,322,350,150,24,7,100,24,31,100,2,18
47,move,"move 25 8",1,327,350,150,25,8,100,24,31,100,2,18
48,move,"move 23 30",2,332,350,150,25,8,100,23,30,100,2,18
49,dig,"dig 3 19",3,339,350,150,25,8,100,23,30,100,2,18
50,move,"move 26 8",1,344,350,150,26,8,100,23,30,100,2,18
51,dig,"dig 22 31",2,351,350,150,26,8,100,23,30,100,2,18
52,move,"move 1 17",3,356,350,150,26,8,100,23,30,100,1,17
53,move,"move 27 9",1,361,350,150,27,9,100,23,30,100,1,17
54,move,"move 23 31",2,366,350,150,27,9,100,23,31,100,1,17
55,move,"move 2 17",3,371,350,150,27,9,100,23,31,100,2,17
56,dig,"dig 28 10",1,378,350,150,27,9,100,23,31,100,2,17
57,move,"move 23 30",2,383,350,150,27,9,100,23,30,100,2,17
58,dig,"dig 3 18",3,390,350,150,27,9,100,23,30,100,2,17
59,dig,"dig 28 8",1,397,350,150,27,9,100,23,30,100,2,17
60,dig,"dig 22 30",2,404,350,150,27,9,100,23,30,100,2,17
61,move,"move 2 16",3,409,350,150,27,9,100,23,30,100,2,16
62,move,"move 26 9",1,414,350,150,26,9,100,23,30,100,2,16
63,move,"move 22 31",2,419,350,150,26,9,100,22,31,100,2,16
64,move,"move 1 16",3,424,350,150,26,9,100,22,31,100,1,16
65,move,"move 27 8",1,429,350,150,27,8,100,22,31,100,1,16
66,move,"move 23 30",2,434,350,150,27,8,100,23,30,100,1,16
67,move,"move 0 16",3,439,350,150,27,8,100,23,30,100,0,16
68,move,"move 27 9",1,444,350,150,27,9,100,23,30,100,0,16
69,move,"move 23 31",2,449,350,150,27,9,100,23,31,100,0,16
70,nothing,"nothing "Player chose to do nothing"",3,449,350,150,27,9,100,23,31,100,0,16
71,nothing,"nothing "Player chose to do nothing"",1,449,350,150,27,9,100,23,31,100,0,16
72,nothing,"nothing "Player chose to do nothing"",2,449,350,150,27,9,100,23,31,100,0,16
73,nothing,"nothing "Player chose to do nothing"",3,449,350,150,27,9,100,23,31,100,0,16
74,dig,"dig 27 10",1,449,350,150,27,9,100,23,31,100,0,16
75,move,"move 22 31",2,454,350,150,27,9,100,22,31,100,0,16
76,nothing,"nothing "Player chose to do nothing"",3,454,350,150,27,9,100,22,31,100,0,16
77,move,"move 26 9",1,454,350,150,27,9,100,22,31,100,0,16
78,move,"move 23 30",2,459,350,150,27,9,100,23,30,100,0,16
79,move,"move 1 17",3,464,350,150,27,9,100,23,30,100,1,17
80,dig,"dig 27 10",1,464,350,150,27,9,100,23,30,100,1,17
81,nothing,"nothing "Player chose to do nothing"",2,464,350,150,27,9,100,23,30,100,1,17
82,dig,"dig 0 18",3,471,350,150,27,9,100,23,30,100,1,17
83,dig,"dig 26 10",1,471,350,150,27,9,100,23,30,100,1,17
84,nothing,"nothing "Player chose to do nothing"",2,469,342,142,27,9,100,23,30,100,1,17
85,move,"move 2 18",3,471,334,134,27,9,100,23,30,100,2,18
86,shoot,"shoot W",1,468,326,126,27,9,100,23,30,100,2,18
87,move,"move 22 30",2,471,318,118,27,9,100,22,30,100,2,18
88,move,"move 2 17",3,473,310,110,27,9,100,22,30,100,2,17
89,shoot,"shoot W",1,489,310,110,27,9,100,22,30,100,2,17
90,dig,"dig 22 29",2,496,310,110,27,9,100,22,30,100,2,17
91,move,"move 1 18",3,498,302,102,27,9,100,22,30,100,1,18
92,shoot,"shoot W",1,508,282,82,27,9,100,22,30,100,1,18
93,move,"move 22 31",2,513,282,82,27,9,100,22,31,100,1,18
94,nothing,"nothing "Player chose to do nothing"",3,510,274,74,27,9,100,22,31,100,1,18
95,shoot,"shoot W",1,519,254,54,27,9,100,22,31,100,1,18
96,nothing,"nothing "Player chose to do nothing"",2,517,246,46,27,9,100,22,31,100,1,18
97,move,"move 2 17",3,519,238,38,27,9,100,22,31,100,2,17
98,shoot,"shoot W",1,528,218,18,27,9,100,22,31,100,2,17
99,move,"move 23 31",2,531,210,10,27,9,100,23,31,100,2,17
100,move,"move 1 17",3,533,202,2,27,9,100,23,31,100,1,17
