Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 25 5",1,121,350,150,25,5,100,24,28,100,1,16
3,move,"move 25 27",2,126,350,150,25,5,100,25,27,100,1,16
4,move,"move 1 15",3,131,350,150,25,5,100,25,27,100,1,15
5,dig,"dig 26 6",1,138,350,150,25,5,100,25,27,100,1,15
6,dig,"dig 26 26",2,145,350,150,25,5,100,25,27,100,1,15
7,dig,"dig 2 14",3,152,350,150,25,5,100,25,27,100,1,15
8,move,"move 26 6",1,157,350,150,26,6,100,25,27,100,1,15
9,move,"move 26 26",2,162,350,150,26,6,100,26,26,100,1,15
10,move,"move 2 14",3,167,350,150,26,6,100,26,26,100,2,14
11,dig,"dig 27 7",1,174,350,150,26,6,100,26,26,100,2,14
12,move,"move 26 25",2,179,350,150,26,6,100,26,25,100,2,14
13,move,"move 3 13",3,184,350,150,26,6,100,26,25,100,3,13
14,move,"move 27 7",1,189,350,150,27,7,100,26,25,100,3,13
15,move,"move 26 24",2,194,350,150,27,7,100,26,24,100,3,13
16,move,"move 4 12",3,199,350,150,27,7,100,26,24,100,4,12
17,dig,"dig 28 8",1,206,350,150,27,7,100,26,24,100,4,12
18,move,"move 26 23",2,211,350,150,27,7,100,26,23,100,4,12
19,dig,"dig 5 11",3,218,350,150,27,7,100,26,23,100,4,12
20,move,"move 28 8",1,223,350,150,28,8,100,26,23,100,4,12
21,invalid,"invalid",2,219,350,150,28,8,100,26,23,100,4,12
22,move,"move 5 11",3,224,350,150,28,8,100,26,23,100,5,11
23,move,"move 29 9",1,229,350,150,29,9,100,26,23,100,5,11
24,invalid,"invalid",2,225,350,150,29,9,100,26,23,100,5,11
25,move,"move 6 10",3,230,350,150,29,9,100,26,23,100,6,10
26,move,"move 29 10",1,235,350,150,29,10,100,26,23,100,6,10
27,invalid,"invalid",2,231,350,150,29,10,100,26,23,100,6,10
28,dig,"dig 7 9",3,238,350,150,29,10,100,26,23,100,6,10
29,dig,"dig 28 11",1,245,350,150,29,10,100,26,23,100,6,10
30,invalid,"invalid",2,241,350,150,29,10,100,26,23,100,6,10
31,move,"move 7 9",3,246,350,150,29,10,100,26,23,100,7,9
32,move,"move 29 11",1,251,350,150,29,11,100,26,23,100,7,9
33,invalid,"invalid",2,247,350,150,29,11,100,26,23,100,7,9
34,dig,"dig 8 8",3,254,350,150,29,11,100,26,23,100,7,9
35,move,"move 29 12",1,259,350,150,29,12,100,26,23,100,7,9
36,invalid,"invalid",2,255,350,150,29,12,100,26,23,100,7,9
37,move,"move 8 9",3,260,350,150,29,12,100,26,23,100,8,9
38,move,"move 28 13",1,265,350,150,28,13,100,26,23,100,8,9
39,move,"move 25 22",2,270,350,150,28,13,100,25,22,100,8,9
40,snowball,"snowball 13 11",3,287,350,150,28,13,100,25,22,100,8,9
41,dig,"dig 27 14",1,294,350,150,28,13,100,25,22,100,8,9
42,banana,"banana 22 17",2,362,350,150,28,13,100,25,22,100,8,9
43,move,"move 9 10",3,367,350,150,28,13,100,25,22,100,9,10
44,move,"move 27 14",1,372,350,150,27,14,100,25,22,100,9,10
45,invalid,"invalid",2,368,350,150,27,14,100,25,22,100,9,10
46,snowball,"snowball 13 12",3,385,350,150,27,14,100,25,22,100,9,10
47,dig,"dig 26 15",1,392,350,150,27,14,100,25,22,100,9,10
48,move,"move 24 21",2,397,350,150,27,14,100,24,21,100,9,10
49,move,"move 10 11",3,402,350,150,27,14,100,24,21,100,10,11
50,move,"move 26 15",1,407,350,150,26,15,100,24,21,100,10,11
51,banana,"banana 20 17",2,469,330,150,26,15,100,24,21,80,10,11
52,snowball,"snowball 13 12",3,486,330,150,26,15,100,24,21,80,10,11
53,move,"move 25 16",1,491,330,150,25,16,100,24,21,80,10,11
54,dig,"dig 23 20",2,498,330,150,25,16,100,24,21,80,10,11
55,move,"move 11 12",3,503,330,150,25,16,100,24,21,80,11,12
56,move,"move 24 17",1,508,330,150,24,17,100,24,21,80,11,12
57,move,"move 23 20",2,506,310,150,24,17,100,23,20,60,11,12
58,move,"move 12 13",3,511,310,150,24,17,100,23,20,60,12,13
59,move,"move 23 18",1,513,302,150,23,18,100,23,20,52,12,13
60,move,"move 22 19",2,516,294,150,23,18,100,22,19,44,12,13
61,shoot,"shoot E",3,529,286,150,23,18,100,22,19,36,12,13
62,move,"move 22 17",1,531,278,150,22,17,100,22,19,28,12,13
63,banana,"banana 18 15",2,628,278,150,22,17,100,22,19,28,12,13
64,shoot,"shoot E",3,642,270,150,22,17,100,22,19,20,12,13
65,move,"move 22 16",1,642,270,150,22,17,100,22,19,20,12,13
66,invalid,"invalid",3,638,270,150,22,17,100,22,19,20,12,13
67,move,"move 22 16",1,631,250,150,22,17,100,22,19,0,12,13
68,move,"move 22 18",2,636,250,150,22,17,100,22,18,0,12,13
69,move,"move 21 17",1,641,250,150,21,17,100,22,18,0,12,13
70,move,"move 22 17",2,646,250,150,21,17,100,22,17,0,12,13
71,move,"move 20 17",1,651,250,150,20,17,100,22,17,0,12,13
72,move,"move 21 17",2,651,250,150,20,17,100,22,17,0,12,13
73,move,"move 19 17",1,651,250,150,20,17,100,22,17,0,12,13
74,move,"move 21 17",2,651,250,150,20,17,100,22,17,0,12,13
75,move,"move 19 17",1,651,250,150,20,17,100,22,17,0,12,13
76,move,"move 21 18",2,656,250,150,20,17,100,21,18,0,12,13
77,move,"move 19 17",1,661,250,150,19,17,100,21,18,0,12,13
78,move,"move 20 18",2,661,250,150,19,17,100,21,18,0,12,13
79,shoot,"shoot NW",1,661,250,150,19,17,100,21,18,0,12,13
80,move,"move 20 18",2,658,242,142,19,17,100,21,18,0,12,13
81,shoot,"shoot NW",1,658,242,142,19,17,100,21,18,0,12,13
82,move,"move 20 18",2,663,242,142,19,17,100,20,18,0,12,13
83,shoot,"shoot NW",1,677,234,134,19,17,100,20,18,0,12,13
84,move,"move 20 17",2,679,226,126,19,17,100,20,17,0,12,13
