Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 24 5",1,121,350,150,24,5,100,24,28,100,1,16
3,move,"move 24 27",2,126,350,150,24,5,100,24,27,100,1,16
4,move,"move 2 15",3,131,350,150,24,5,100,24,27,100,2,15
5,dig,"dig 24 6",1,138,350,150,24,5,100,24,27,100,2,15
6,dig,"dig 24 26",2,145,350,150,24,5,100,24,27,100,2,15
7,dig,"dig 3 14",3,152,350,150,24,5,100,24,27,100,2,15
8,move,"move 24 6",1,157,350,150,24,6,100,24,27,100,2,15
9,move,"move 24 26",2,162,350,150,24,6,100,24,26,100,2,15
10,move,"move 3 14",3,167,350,150,24,6,100,24,26,100,3,14
11,dig,"dig 23 7",1,174,350,150,24,6,100,24,26,100,3,14
12,dig,"dig 23 25",2,181,350,150,24,6,100,24,26,100,3,14
13,move,"move 4 13",3,186,350,150,24,6,100,24,26,100,4,13
14,move,"move 23 7",1,191,350,150,23,7,100,24,26,100,4,13
15,move,"move 23 25",2,196,350,150,23,7,100,23,25,100,4,13
16,dig,"dig 5 12",3,203,350,150,23,7,100,23,25,100,4,13
17,move,"move 23 8",1,208,350,150,23,8,100,23,25,100,4,13
18,dig,"dig 23 24",2,215,350,150,23,8,100,23,25,100,4,13
19,move,"move 5 12",3,220,350,150,23,8,100,23,25,100,5,12
20,dig,"dig 23 9",1,227,350,150,23,8,100,23,25,100,5,12
21,move,"move 23 24",2,232,350,150,23,8,100,23,24,100,5,12
22,move,"move 6 12",3,237,350,150,23,8,100,23,24,100,6,12
23,move,"move 23 9",1,242,350,150,23,9,100,23,24,100,6,12
24,move,"move 23 23",2,247,350,150,23,9,100,23,23,100,6,12
25,move,"move 7 12",3,252,350,150,23,9,100,23,23,100,7,12
26,dig,"dig 22 10",1,259,350,150,23,9,100,23,23,100,7,12
27,move,"move 22 22",2,264,350,150,23,9,100,22,22,100,7,12
28,invalid,"invalid",3,260,350,150,23,9,100,22,22,100,7,12
29,nothing,"nothing "Player chose to do nothing"",1,260,350,150,23,9,100,22,22,100,7,12
30,nothing,"nothing "Player chose to do nothing"",2,260,350,150,23,9,100,22,22,100,7,12
31,snowball,"snowball 12 9",3,277,350,150,23,9,100,22,22,100,7,12
32,nothing,"nothing "Player chose to do nothing"",1,277,350,150,23,9,100,22,22,100,7,12
33,nothing,"nothing "Player chose to do nothing"",2,277,350,150,23,9,100,22,22,100,7,12
34,nothing,"nothing "Player chose to do nothing"",3,277,350,150,23,9,100,22,22,100,7,12
35,nothing,"nothing "Player chose to do nothing"",1,277,350,150,23,9,100,22,22,100,7,12
36,nothing,"nothing "Player chose to do nothing"",2,277,350,150,23,9,100,22,22,100,7,12
37,snowball,"snowball 12 10",3,294,350,150,23,9,100,22,22,100,7,12
38,nothing,"nothing "Player chose to do nothing"",1,294,350,150,23,9,100,22,22,100,7,12
39,nothing,"nothing "Player chose to do nothing"",2,294,350,150,23,9,100,22,22,100,7,12
40,nothing,"nothing "Player chose to do nothing"",3,294,350,150,23,9,100,22,22,100,7,12
41,nothing,"nothing "Player chose to do nothing"",1,294,350,150,23,9,100,22,22,100,7,12
42,nothing,"nothing "Player chose to do nothing"",2,294,350,150,23,9,100,22,22,100,7,12
43,snowball,"snowball 12 11",3,311,350,150,23,9,100,22,22,100,7,12
44,nothing,"nothing "Player chose to do nothing"",1,311,350,150,23,9,100,22,22,100,7,12
45,nothing,"nothing "Player chose to do nothing"",2,311,350,150,23,9,100,22,22,100,7,12
46,nothing,"nothing "Player chose to do nothing"",3,311,350,150,23,9,100,22,22,100,7,12
47,nothing,"nothing "Player chose to do nothing"",1,311,350,150,23,9,100,22,22,100,7,12
48,nothing,"nothing "Player chose to do nothing"",2,311,350,150,23,9,100,22,22,100,7,12
49,nothing,"nothing "Player chose to do nothing"",3,311,350,150,23,9,100,22,22,100,7,12
50,nothing,"nothing "Player chose to do nothing"",1,311,350,150,23,9,100,22,22,100,7,12
51,nothing,"nothing "Player chose to do nothing"",2,311,350,150,23,9,100,22,22,100,7,12
52,nothing,"nothing "Player chose to do nothing"",3,311,350,150,23,9,100,22,22,100,7,12
53,nothing,"nothing "Player chose to do nothing"",1,311,350,150,23,9,100,22,22,100,7,12
54,nothing,"nothing "Player chose to do nothing"",2,311,350,150,23,9,100,22,22,100,7,12
55,nothing,"nothing "Player chose to do nothing"",3,311,350,150,23,9,100,22,22,100,7,12
