Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 25 5",1,121,350,150,25,5,100,24,28,100,1,16
3,move,"move 25 27",2,126,350,150,25,5,100,25,27,100,1,16
4,move,"move 1 15",3,131,350,150,25,5,100,25,27,100,1,15
5,dig,"dig 26 6",1,138,350,150,25,5,100,25,27,100,1,15
6,dig,"dig 26 26",2,145,350,150,25,5,100,25,27,100,1,15
7,dig,"dig 2 14",3,152,350,150,25,5,100,25,27,100,1,15
8,move,"move 26 6",1,157,350,150,26,6,100,25,27,100,1,15
9,move,"move 26 26",2,162,350,150,26,6,100,26,26,100,1,15
10,move,"move 2 14",3,167,350,150,26,6,100,26,26,100,2,14
11,move,"move 27 7",1,172,350,150,27,7,100,26,26,100,2,14
12,move,"move 26 25",2,177,350,150,27,7,100,26,25,100,2,14
13,move,"move 2 13",3,182,350,150,27,7,100,26,25,100,2,13
14,dig,"dig 28 8",1,189,350,150,27,7,100,26,25,100,2,13
15,dig,"dig 26 24",2,196,350,150,27,7,100,26,25,100,2,13
16,dig,"dig 3 12",3,203,350,150,27,7,100,26,25,100,2,13
17,move,"move 28 8",1,208,350,150,28,8,100,26,25,100,2,13
18,move,"move 26 24",2,213,350,150,28,8,100,26,24,100,2,13
19,move,"move 3 12",3,218,350,150,28,8,100,26,24,100,3,12
20,move,"move 29 9",1,223,350,150,29,9,100,26,24,100,3,12
21,dig,"dig 26 23",2,230,350,150,29,9,100,26,24,100,3,12
22,dig,"dig 4 11",3,237,350,150,29,9,100,26,24,100,3,12
23,move,"move 28 10",1,242,350,150,28,10,100,26,24,100,3,12
24,move,"move 26 23",2,247,350,150,28,10,100,26,23,100,3,12
25,move,"move 4 11",3,252,350,150,28,10,100,26,23,100,4,11
26,dig,"dig 27 11",1,259,350,150,28,10,100,26,23,100,4,11
27,invalid,"invalid",2,255,350,150,28,10,100,26,23,100,4,11
28,dig,"dig 5 10",3,262,350,150,28,10,100,26,23,100,4,11
29,dig,"dig 28 11",1,269,350,150,28,10,100,26,23,100,4,11
30,invalid,"invalid",2,265,350,150,28,10,100,26,23,100,4,11
31,move,"move 5 10",3,270,350,150,28,10,100,26,23,100,5,10
32,move,"move 28 11",1,275,350,150,28,11,100,26,23,100,5,10
33,invalid,"invalid",2,271,350,150,28,11,100,26,23,100,5,10
34,dig,"dig 6 9",3,278,350,150,28,11,100,26,23,100,5,10
35,dig,"dig 28 12",1,285,350,150,28,11,100,26,23,100,5,10
36,dig,"dig 25 22",2,292,350,150,28,11,100,26,23,100,5,10
37,move,"move 6 9",3,297,350,150,28,11,100,26,23,100,6,9
38,move,"move 28 12",1,302,350,150,28,12,100,26,23,100,6,9
39,move,"move 25 22",2,307,350,150,28,12,100,25,22,100,6,9
40,move,"move 7 10",3,312,350,150,28,12,100,25,22,100,7,10
41,dig,"dig 27 13",1,319,350,150,28,12,100,25,22,100,7,10
42,invalid,"invalid",2,315,350,150,28,12,100,25,22,100,7,10
43,move,"move 8 11",3,320,350,150,28,12,100,25,22,100,8,11
44,move,"move 27 13",1,325,350,150,27,13,100,25,22,100,8,11
45,invalid,"invalid",2,321,350,150,27,13,100,25,22,100,8,11
46,dig,"dig 9 10",3,328,350,150,27,13,100,25,22,100,8,11
47,dig,"dig 26 14",1,335,350,150,27,13,100,25,22,100,8,11
48,invalid,"invalid",2,331,350,150,27,13,100,25,22,100,8,11
49,move,"move 9 10",3,336,350,150,27,13,100,25,22,100,9,10
50,move,"move 26 14",1,341,350,150,26,14,100,25,22,100,9,10
51,invalid,"invalid",2,337,350,150,26,14,100,25,22,100,9,10
52,move,"move 10 9",3,342,350,150,26,14,100,25,22,100,10,9
53,move,"move 25 15",1,342,350,150,26,14,100,25,22,100,10,9
54,invalid,"invalid",2,338,350,150,26,14,100,25,22,100,10,9
55,move,"move 11 10",3,343,350,150,26,14,100,25,22,100,11,10
56,move,"move 25 15",1,343,350,150,26,14,100,25,22,100,11,10
57,dig,"dig 25 21",2,350,350,150,26,14,100,25,22,100,11,10
58,snowball,"snowball 15 13",3,367,350,150,26,14,100,25,22,100,11,10
59,move,"move 25 15",1,367,350,150,26,14,100,25,22,100,11,10
60,move,"move 25 21",2,372,350,150,26,14,100,25,21,100,11,10
61,dig,"dig 12 11",3,379,350,150,26,14,100,25,21,100,11,10
62,move,"move 25 15",1,379,350,150,26,14,100,25,21,100,11,10
63,invalid,"invalid",2,375,350,150,26,14,100,25,21,100,11,10
64,move,"move 12 11",3,380,350,150,26,14,100,25,21,100,12,11
65,move,"move 25 15",1,380,350,150,26,14,100,25,21,100,12,11
66,invalid,"invalid",2,376,350,150,26,14,100,25,21,100,12,11
67,snowball,"snowball 16 13",3,393,350,150,26,14,100,25,21,100,12,11
68,move,"move 25 15",1,391,342,142,26,14,100,25,21,100,12,11
69,move,"move 25 20",2,393,334,134,26,14,100,25,20,100,12,11
70,dig,"dig 13 10",3,397,326,126,26,14,100,25,20,100,12,11
71,move,"move 25 15",1,402,326,126,25,15,100,25,20,100,12,11
72,invalid,"invalid",2,396,318,118,25,15,100,25,20,100,12,11
73,snowball,"snowball 16 13",3,413,318,118,25,15,100,25,20,100,12,11
74,move,"move 25 14",1,418,318,118,25,14,100,25,20,100,12,11
75,invalid,"invalid",2,411,310,110,25,14,100,25,20,100,12,11
76,move,"move 13 10",3,416,310,110,25,14,100,25,20,100,13,10
77,move,"move 25 13",1,421,310,110,25,13,100,25,20,100,13,10
78,invalid,"invalid",2,414,302,102,25,13,100,25,20,100,13,10
79,move,"move 14 10",3,419,302,102,25,13,100,25,20,100,14,10
80,move,"move 25 14",1,418,282,102,25,14,100,25,20,80,14,10
81,invalid,"invalid",2,411,274,94,25,14,100,25,20,80,14,10
82,move,"move 15 10",3,416,274,94,25,14,100,25,20,80,15,10
83,move,"move 25 13",1,414,254,94,25,13,100,25,20,60,15,10
84,invalid,"invalid",2,408,246,86,25,13,100,25,20,60,15,10
