Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 25 5",1,121,350,150,25,5,100,24,28,100,1,16
3,invalid,"invalid",2,117,350,150,25,5,100,24,28,100,1,16
4,invalid,"invalid",3,113,350,150,25,5,100,24,28,100,1,16
5,dig,"dig 26 6",1,120,350,150,25,5,100,24,28,100,1,16
6,invalid,"invalid",2,116,350,150,25,5,100,24,28,100,1,16
7,invalid,"invalid",3,112,350,150,25,5,100,24,28,100,1,16
8,move,"move 26 6",1,117,350,150,26,6,100,24,28,100,1,16
9,invalid,"invalid",2,113,350,150,26,6,100,24,28,100,1,16
10,invalid,"invalid",3,109,350,150,26,6,100,24,28,100,1,16
11,dig,"dig 27 7",1,116,350,150,26,6,100,24,28,100,1,16
12,invalid,"invalid",2,112,350,150,26,6,100,24,28,100,1,16
13,invalid,"invalid",3,108,350,150,26,6,100,24,28,100,1,16
14,move,"move 27 7",1,113,350,150,27,7,100,24,28,100,1,16
